,,,,,,estimated_new_units,estimated_new_units,new_price,new_price,new_revenue,new_revenue,revenue_change_pct,revenue_change_pct,unit_change_pct,unit_change_pct
scenario,,,,,,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase,Scenario A: 20% Flash Sale Discount,Scenario B: 10% Seasonal Price Increase
ppId,name,brand,search_term,currentMin,baseline_units,,,,,,,,,,
ppr5007853143,1/2 CT. T.W. Natural White Diamond Sterling Silver 10.1mm Stud Earrings,more brands,diamond earrings,787.49,94.0,113.0,85.0,629.9920000000001,866.239,71189.096,73630.315,-3.8297872340425436,-0.531914893617015,20.0,-10.0
ppr5007853178,1/3 CT. T.W. Natural White Diamond Sterling Silver 11.9mm Flower Stud Earrings,more brands,diamond earrings,641.66,94.0,113.0,85.0,513.328,705.826,58006.064,59995.21,-3.8297872340425454,-0.5319148936170122,20.0,-10.0
ppr5007907998,Farberware Cookstart DiamondMax 3-qt. Non-Stick Sauce Pan,farberware,cookware,29.99,138.0,171.0,121.0,23.992,32.989000000000004,4102.6320000000005,3991.6690000000003,-0.8695652173912892,-3.550724637681149,24.0,-12.0
ppr5008043471,24seven Comfort Apparel Womens Plus 3/4 Sleeve Fit + Flare Dress,24seven comfort apparel,women's dresses,42.99,94.0,126.0,78.0,34.392,47.28900000000001,4333.392000000001,3688.542000000001,7.234042553191497,-8.723404255319139,34.0,-17.0
ppr5008057842,"Merten & Storck 8"" Carbon Steel Frying Pan",merten & storck,cookware,39.99,186.0,231.0,164.0,31.992000000000004,43.989000000000004,7390.152000000001,7214.196000000001,-0.6451612903225722,-3.0107526881720363,24.0,-12.0
ppr5008059269,24seven Comfort Apparel Womens Maternity Long Sleeve Maxi Dress,24seven comfort apparel,women's dresses,39.99,94.0,126.0,78.0,31.992000000000004,43.989000000000004,4030.9920000000006,3431.1420000000003,7.234042553191496,-8.723404255319151,34.0,-17.0
ppr5008094038,Safavieh Elegant Patio Collection Patio Umbrella,safavieh,patio and outdoor furniture,257.99,110.0,134.0,98.0,206.39200000000002,283.78900000000004,27656.528000000002,27811.322000000004,-2.545454545454543,-1.9999999999999918,22.000000000000004,-11.000000000000002
ppr5008094059,Safavieh Vienna Patio Collection Patio Umbrella,safavieh,patio and outdoor furniture,299.99,110.0,134.0,98.0,239.99200000000002,329.98900000000003,32158.928000000004,32338.922000000002,-2.5454545454545388,-1.9999999999999973,22.000000000000004,-11.000000000000002
ppr5008099342,Safavieh Thessaly Patio Collection 5-pc. Weather Resistant Round Dining Set,safavieh,patio and outdoor furniture,1055.99,78.0,95.0,69.0,844.792,1161.5890000000002,80255.24,80149.64100000002,-2.564102564102559,-2.692307692307672,22.000000000000004,-11.000000000000002
ppr5008152883,Nautica Blue Eau De Toilette,nautica,fragrances,36.99,273.0,317.0,251.0,29.592000000000002,40.68900000000001,9380.664,10212.939000000002,-7.106227106227103,1.1355311355311521,16.000000000000004,-8.000000000000002
ppr5008171183,"KitchenAid Stainless Steel 12"" Frying Pan",kitchenaid,cookware,39.99,235.0,291.0,207.0,31.992000000000004,43.989000000000004,9309.672,9105.723000000002,-0.9361702127659485,-3.106382978723382,24.0,-12.0
ppr5008218344,"BergHOFF Gem 10"" Covered Saute Pan",berghoff,cookware,149.99,78.0,97.0,69.0,119.99200000000002,164.98900000000003,11639.224000000002,11384.241000000002,-0.5128205128205058,-2.6923076923076867,24.0,-12.0
ppr5008247535,Anolon Advanced Home Hard Anodized Wide Stockpot with Steamer Insert Set,anolon,cookware,129.99,186.0,231.0,164.0,103.99200000000002,142.98900000000003,24022.152000000006,23450.196000000004,-0.6451612903225704,-3.010752688172041,24.0,-12.0
ppr5008264978,"Farberware Eco Advantage Ceramic 11.25"" Round Griddle",farberware,cookware,27.99,114.0,141.0,100.0,22.392,30.789,3157.272,3078.9,-1.0526315789473601,-3.5087719298245488,24.0,-12.0
ppr5008297262,Kyoto Side Table,more brands,patio and outdoor furniture,101.99,110.0,134.0,98.0,81.592,112.18900000000001,10933.328,10994.522,-2.5454545454545467,-1.9999999999999893,22.000000000000004,-11.000000000000002
ppr5008297463,Thomas And Vine Odin Mens Cap Closed Toe Oxford Shoes,thomas and vine,men's shoes,54.99,122.0,154.0,106.0,43.992000000000004,60.489000000000004,6774.768000000001,6411.834000000001,0.9836065573770533,-4.42622950819672,26.0,-13.0
ppr5008301157,Diamond Accent Natural White Diamond Sterling Silver 10.7mm Curved Stud Earrings,more brands,diamond earrings,218.74,94.0,113.0,85.0,174.99200000000002,240.61400000000003,19774.096,20452.190000000002,-3.8297872340425525,-0.5319148936170163,20.0,-10.0
ppr5008301221,Womens 1/5 CT. Natural White Diamond Sterling Silver Cross Drop Earrings,more brands,diamond earrings,510.41,94.0,113.0,85.0,408.32800000000003,561.451,46141.064000000006,47723.335,-3.8297872340425427,-0.5319148936170249,20.0,-10.0
